"Stemgedrag stemgerechtigden Tweede Kamerverkiezingen 9-6-2010"
""
"";"Onderwerp"
"";"CDA";"PvdA";"VVD";"GroenLinks";"SP";"ChristenUnie";"PVV";"D66";"Overige politieke partijen";"Niet gestemd"
"Persoonskenmerken";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%"
"Totaal";"10";"15";"16";"5";"7";"2";"12";"5";"3";"25"
"Geslacht: mannen";"8";"15";"18";"4";"6";"2";"13";"6";"3";"26"
"Geslacht: vrouwen";"12";"14";"13";"6";"9";"3";"11";"5";"3";"24"
"Leeftijd: 18 tot 25 jaar";"6";"8";"10";"4";"6";"2";"13";"5";"3";"41"
"Leeftijd: 25 tot 35 jaar";"7";"15";"21";"6";"4";"4";"10";"4";"3";"26"
"Leeftijd: 35 tot 45 jaar";"9";"15";"21";"5";"7";"3";"13";"6";"4";"18"
"Leeftijd: 45 tot 55 jaar";"8";"16";"15";"7";"9";"2";"13";"6";"2";"21"
"Leeftijd: 55 tot 65 jaar";"10";"14";"14";"7";"11";"2";"13";"6";"2";"21"
"Leeftijd: 65 tot 75 jaar";"17";"18";"14";"3";"8";"2";"10";"5";"2";"21"
"Leeftijd: 75 jaar of ouder";"23";"18";"7";"0";"3";"2";"8";"1";"2";"36"
"Burgerlijke staat: ongehuwd";"5";"13";"15";"5";"6";"1";"11";"5";"3";"36"
"Burgerlijke staat: gehuwd/partnerschap";"12";"16";"17";"5";"8";"3";"12";"5";"3";"19"
"Burgerlijke staat: gescheiden";"10";"15";"13";"6";"10";"1";"14";"7";"2";"22"
"Burgerlijke staat: verweduwd";"19";"16";"11";"3";"8";"2";"9";"3";"2";"29"
"Migratieachtergrond: Nederland";"11";"13";"16";"5";"8";"3";"13";"6";"3";"23"
"Migratieachtergrond: niet-westers";"5";"37";"8";"6";"5";"1";"2";"2";"3";"32"
"Migratieachtergrond: westers";"10";"13";"18";"4";"6";"1";"8";"5";"0";"34"
"Onderwijsniveau: basisonderwijs";"13";"22";"3";"2";"6";"3";"11";"1";"1";"37"
"Onderwijsniveau: lager beroepsonderwijs";"10";"11";"8";"2";"8";"1";"19";"2";"3";"36"
"Onderwijsniveau: avo onderbouw";"12";"10";"10";"2";"12";"4";"16";"4";"1";"28"
"Onderwijsniveau: havo, vwo, mbo";"11";"14";"17";"3";"8";"3";"11";"4";"3";"24"
"Onderwijsniveau: hbo, wo";"8";"17";"26";"12";"5";"3";"3";"12";"4";"10"
"Stedelijkheid:Zeer sterk stedelijk";"5";"21";"15";"7";"6";"1";"10";"8";"2";"25"
"Stedelijkheid:Sterk stedelijk";"6";"15";"15";"6";"8";"2";"12";"5";"3";"27"
"Stedelijkheid:Matig stedelijk";"11";"15";"19";"4";"7";"3";"15";"6";"2";"17"
"Stedelijkheid:Weinig stedelijk";"16";"11";"15";"4";"7";"3";"10";"4";"3";"28"
"Stedelijkheid:Niet stedelijk";"17";"12";"13";"3";"10";"3";"10";"3";"5";"23"
"Kerkelijke gezindte: geen";"3";"15";"18";"6";"8";"0";"14";"7";"2";"27"
"Kerkelijke gezindte: rooms-katholiek";"21";"10";"13";"3";"8";"0";"13";"2";"1";"29"
"Kerkelijke gezindte: Nederlands hervormd";"22";"12";"19";"4";"6";"7";"9";"2";"3";"15"
"Kerkelijke gezindte: gereformeerd";"21";"4";"6";"3";"7";"24";"4";"8";"18";"6"
"Kerkelijke gezindte: protestants";"34";"12";"9";"6";"2";"9";"2";"6";"8";"11"
"Kerkelijke gezindte: overige";"8";"33";"10";"5";"4";"11";"4";"4";"4";"19"
"Kerkbezoek: één keer per week of vaker";"32";"12";"4";"2";"3";"21";"3";"0";"13";"10"
"Kerkbezoek: twee tot drie keer per maand";"39";"12";"6";"3";"7";"14";"0";"3";"2";"15"
"Kerkbezoek: één keer per maand";"27";"15";"17";"4";"4";"1";"6";"1";"3";"22"
"Kerkbezoek: minder dan één keer per mnd.";"19";"18";"13";"7";"9";"0";"11";"2";"1";"19"
"Kerkbezoek: zelden of nooit";"11";"14";"16";"3";"7";"1";"12";"5";"1";"28"
"Bron: CBS"
